zipcode,total_items,precipitation_rate,water_runoff,snow_depth,temperature,temperature_at_1500m,min_temperature,max_temperature,pressure,wind_gust_speed,total_cloud_cover,dew_point_temperature,relative_humidity,wind_speed,classification_ontime
10958,126.0,0.0,1.12,0.08,-5.39,-3.95,-9.77,-1.27,98374.07,11.72,15.2,-9.14,76.38,4.121966579433261,On time
54981,463.0,0.0,0.08,0.15,-9.18,-11.27,-13.18,-5.23,99092.47,1.54,69.5,-11.07,89.86,1.1170447689374574,Delayed
92553,1147.0,0.0,0.08,0.0,11.35,8.85,6.68,16.18,90285.32,3.8,65.5,1.8,55.01,3.075859946439945,Delayed
50436,399.0,0.0,0.28,0.1,-19.26,-14.59,-23.23,-15.95,98024.12,2.1,69.0,-22.15,92.72,1.7067586261119794,Delayed
40447,125.0,0.0,3.96,0.0,12.71,8.54,11.91,14.05,97302.4,6.2,100.0,12.33,97.61,1.7568810451743986,On time
52726,149.0,0.0,0.04,0.0,-10.28,-15.85,-12.59,-7.98,100925.0,6.57,52.7,-18.93,51.75,4.505099470917363,Delayed
47459,106.0,0.0,8.35,0.0,9.66,4.93,4.04,15.11,99755.17,5.89,57.0,3.72,68.08,2.725410904375896,On time
76108,1154.0,0.0,0.77,0.0,6.29,6.37,2.82,18.36,99727.77,11.65,97.5,1.95,75.22,8.171431251692347,On time
8312,135.0,0.0,2.54,0.0,7.88,7.02,3.85,16.55,102972.75,8.01,78.5,4.26,78.48,3.7949227007426303,On time
51632,107.0,0.0,0.01,0.0,4.67,-2.65,-2.13,10.71,98370.55,11.64,83.5,-5.45,49.26,6.342303517016121,On time
46075,341.0,0.0,2.46,0.0,4.08,1.2,-0.69,9.95,97901.05,5.68,30.5,-2.33,65.5,3.325792748033638,On time
15010,560.0,0.0,2.27,0.0,0.81,-0.73,-4.65,8.27,97705.97,1.29,11.2,-5.92,63.97,0.9576563003317276,On time
32266,422.0,0.0,1.2,0.0,19.98,11.55,18.1,23.21,102665.0,6.51,0.0,17.22,85.23,4.01895874554806,On time
97426,292.0,0.0,3.0,0.0,8.73,2.07,5.23,13.61,100428.75,1.76,93.7,7.0,89.61,1.0349048955104965,On time
75840,126.0,0.0,3.85,0.0,11.64,11.67,8.15,20.14,100890.0,10.07,92.7,9.32,85.69,5.263171393990599,On time
98390,260.0,0.0,5.17,0.02,1.76,-3.38,-1.35,5.27,93095.57,1.96,90.7,-1.11,82.2,1.4432615017218513,On time
91387,1293.0,0.0,0.23,0.0,18.25,13.52,11.79,25.14,94286.55,2.46,93.0,6.02,47.06,2.487213548100751,Delayed
21561,109.0,0.0,0.32,0.04,-13.15,-20.44,-16.27,-9.91,95132.92,13.9,48.0,-19.03,67.19,6.730242104875032,On time
60136,234.0,0.0,0.28,0.0,-5.91,-15.92,-8.44,-3.76,99766.07,6.57,66.7,-14.1,53.7,4.988719033932312,On time
68787,129.0,0.0,0.59,0.09,-1.43,-1.23,-2.49,1.35,95552.92,14.57,99.7,-2.96,90.03,8.358264715760827,On time
97224,2431.0,0.0,2.73,0.0,8.18,-2.05,5.36,12.84,100076.72,2.79,52.5,2.91,70.87,1.332455397994846,Delayed
45405,171.0,0.0,1.27,0.0,-0.46,3.15,-5.8,4.21,99245.15,6.81,56.5,-4.68,75.31,3.5673791880245567,Delayed
92058,1391.0,0.0,0.0,0.0,17.91,14.77,17.45,18.51,101620.5,1.75,46.2,10.51,61.98,1.3780178481244627,Delayed
93555,1597.0,0.0,0.08,0.0,15.66,10.95,11.01,21.88,91414.92,9.38,66.5,2.93,43.39,6.795053277684945,Delayed
45844,125.0,0.0,0.56,0.04,3.31,4.87,-1.95,5.41,98888.82,11.66,99.7,3.03,98.26,4.579169783780202,On time
48626,115.0,0.0,0.59,0.13,-8.56,-10.69,-13.67,-5.0,100490.5,10.75,22.5,-11.29,83.93,5.663745721810843,On time
